text,category
olly please can you just stop it.,general_commandstop
add new items in the remainder list,lists_createoradd
lower lights down,iot_hue_lightdim
"it's helpful, thank you.",general_praise
isn't keith urban wonderful,music_likeness
just cancel.,general_commandstop
turn off my bedside lamp please,iot_hue_lightoff
please could you check question.,general_confirm
send a tweet to national grid,social_post
give me the opening stock price of infosys technologies today,qa_stock
put my brother's birthday in my calendar for july fourth,calendar_set
what are all the lists i have available,lists_query
i'd like to hear the last utterance spoken again.,general_repeat
when was frank sinatra born,qa_factoid
could you tell me it once again.,general_repeat
please mark the wemo socket to off,iot_wemo_off
no speaking please,audio_volume_mute
remove the latest alarm,alarm_remove
please turn off kitchen light,iot_hue_lightoff
i need you to have the volume louder,audio_volume_up
Song next please,play_music
let us play millionaires,play_game
describe rock sand,qa_definition
which song am i listening to right now,music_query
what to do lists do i have,lists_query
what's going on on wall street this week,qa_stock
show local events near me,recommendation_events
please send an email to mom,email_sendemail
the lights are too bright,iot_hue_lightdim
turn cleaner robot on,iot_cleaning
how bad is traffic this morning,transport_traffic
what alarms are set in the house,alarm_query
what are the upcoming reminders,calendar_query
what is the event name going in me area,recommendation_events
yeap you get that perfectly.,general_affirm
how much is five dollars worth in euros,qa_currency
do not really mind for any one.,general_dontcare
what are you doing,general_quirky
"that's all, stop.",general_commandstop
find the nearest olive garden that has take out service,takeaway_order
what is tom's phone number,email_querycontact
angry bird,play_game
show johns office number,email_querycontact
please search for dining tables,qa_definition
delete all meetings for tomorrow,calendar_remove
get me the number for local taxi service,transport_taxi
set a reminder alert for saturday nine am towards payment of electricity bill,calendar_set
find a recipe for homemade bread,cooking_recipe
please start the coffee,iot_coffee
"you've done that right, olly.",general_praise
i need coffee please preferably hot,iot_coffee
please remind me that i have a meeting tomorrow ten in the morning,calendar_set
tell me amd stock prices,qa_stock
i will talk to you later.,general_commandstop
please clean my shopping list,lists_remove
how cold is it outside,weather_query
can the lights be turned up,iot_hue_lightup
play the billboard top ten,play_music
tell me the last spoke one more time.,general_repeat
do not mind to select any one.,general_dontcare
would you confirm last thing i said please.,general_confirm
what is my grocery list,lists_query
tell me a good joke,general_joke
give me the exchange rate between united states dollar and canadian dollar,qa_currency
oh it's great job.,general_praise
send email how are you dad to dad,email_sendemail
play bbc radio four,play_radio
what is the story of the movie titanic,general_quirky
what is the square of 4,qa_maths
i want you just stop it.,general_commandstop
Get rid of my current alarms,alarm_remove
yeah you've gotten my instructions right.,general_affirm
change my house lights colour to blue,iot_hue_lightchange
can you increase the brightness in the room,iot_hue_lightup
please change the volume low of the speakers,audio_volume_down
ordering food,takeaway_order
could you please check what said.,general_confirm
softer,audio_volume_down
create an email to my brother asking him what time he will be over for dinner,email_sendemail
yeah it's good.,general_affirm
"s1, can you rephrase me more on the last sentence please.",general_explain
open fishdom game,play_game
i think you messed up with my command.,general_negate
i want to play poker with you,play_game
start a list of dog names,lists_createoradd
got it correcly.,general_affirm
please retweet this post on twitter,social_post
is the road clear in florida,transport_traffic
what time do i work tomorrow,calendar_query
what is i. b. m.'s stock worth,qa_stock
what's the price of ge right now,qa_stock
set the volume higher,audio_volume_up
order travel ticket,transport_ticket
turn down the lights in the living room,iot_hue_lightdim
run the robot vacuum cleaner,iot_cleaning
reach by mail to my family,email_sendemail
is the weather bad in new york right now,weather_query
give me the morning news,news_query
convert time zone to ist,datetime_convert
what is going on in south tampa today,recommendation_events
did i set my house alarm,alarm_query
send email to mommy that i'll be going the party,email_sendemail
Silence speakers,audio_volume_mute
play the radio for me,play_radio
can you book me a train ticket to boston for next tuesday,transport_ticket
can you play my favorite audio book of king kong,play_audiobook
i am sorry but this was not the correct command.,general_negate
is the mail from chris about work,email_query
please let me know what's happening to my social media,social_query
olly shut up.,general_commandstop
what is the traffic like this morning,transport_traffic
create a new list for school supplies,lists_createoradd
what is elvis favorite ride,qa_factoid
can you make me coffee now,iot_coffee
please rephrase again to me.,general_explain
show me the previous episode,play_podcasts
mute audio,audio_volume_mute
show me events nearby,recommendation_events
what does the analysts say about the new immigration policies,news_query
search the contact,email_querycontact
tweet a complaint to local municipality,social_post
what's one plus one,qa_maths
switch off the wemo plug,iot_wemo_off
turn the light off,iot_hue_lightoff
slightly raise the light,iot_hue_lightup
please wake me up at eight am,alarm_set
set a thanks giving event for friday,calendar_set
add mop to hardware store list,lists_createoradd
npr ted talks,play_podcasts
tell me what's happening this week,calendar_query
plays the podcast from the beginning,play_podcasts
how much is a round trip train ticket to go to new york,transport_query
what is the best tasting cut of beef,cooking_recipe
Show chicken tikka recipe,cooking_recipe
have pho send three egg rolls,takeaway_order
begin playing the audiobook beauty and the beast,play_audiobook
how is the traffic,transport_traffic
thanks but i think you have messed up my request.,general_negate
what music genre do i listen to the most,music_query
start play johns audiobook,play_audiobook
send a tweet to meijer tell them that they have the worst customer service,social_post
where can i shop around here,recommendation_locations
what are the list of things i need to buy today,lists_query
olly what songs have i listened to at least ten times,music_query
please open blokus game i would like to play with you,play_game
show me share price of amazon,qa_stock
tell me what's on my shopping list,lists_query
the last friday of the month lands on what day,datetime_query
open calendar and make an event reminder,calendar_set
how much is ten euros in dollars,qa_currency
"s1, rephrase me further on it please.",general_explain
what alarms do you have set,alarm_query
delete my next scheduled event please,calendar_remove
what are the ingredients in macaroni and cheese,cooking_recipe
please change the color of the light in the bathroom,iot_hue_lightchange
how do i get to poughkeepsie from new york city,transport_query
tell me what's on my holiday list,lists_query
help me buy a train ticket to denver for next tuesday morning,transport_ticket
explain further please.,general_explain
tweet paula deen's restaurant that the line is always too long,social_post
how much is twenty argentinian pesos in pounds,qa_currency
what movie do you recommend tonight,recommendation_movies
i asked for something else.,general_negate
i want you to go to hot one hundred and five on the radio,play_radio
"you are helpful, musch appreciated.",general_praise
please let me know today's date,datetime_query
i want to listen to one oh one point one the whiz,play_radio
twenty minus ten,qa_maths
open my notes,lists_createoradd
please turn off the plug socket of my phone when it'll be charged,iot_wemo_off
exchange rate for converting ten dollar to euro,qa_currency
remove alarm of six am on tuesday,alarm_remove
set an eight hundred am alarm for next tuesday,alarm_set
can you turn the volume up,audio_volume_up
enter this to a list,lists_createoradd
please search for local events,recommendation_events
produce a new register,lists_createoradd
add dale@gmail dot com to my contacts,email_addcontact
i didn't catch that.,general_explain
more lights please,iot_hue_lightup
what is the us dollar and euro exchange rate,qa_currency
show me the picture of the singer,music_query
could you harvest the crops in farmvile,play_game
would you check and confirm the question please.,general_confirm
i want to bright the room more,iot_hue_lightup
play chess with me please,play_game
tell company their service is bad,social_post
olly please can you cancel.,general_commandstop
calculate two multiplied by two,qa_maths
call me a taxi,transport_taxi
what time have you set the alarm,alarm_query
that's not the right answer.,general_negate
let's try what you have said again.,general_repeat
resume playback,play_audiobook
what is planned for today in my local area,recommendation_events
please find the radio station currently playing howard stern,play_radio
co play game monopoly,play_game
delete list blank,lists_remove
please change the colour of the lights i'll tell you when to stop,iot_hue_lightchange
i want to order some chinese food tonight what's delivering to me,takeaway_order
i enjoy listening to this song it really calms me down,music_likeness
could you list out the list of trains heading to chester the day after,transport_query
find me the oldest hotel in washington dc,recommendation_locations
what do you know about mary,email_querycontact
"you did good job, thanks.",general_praise
what are the names of all my saved lists,lists_query
shut down the garage light and set the den light to orange please,iot_hue_lightoff
please open chess game i would like to play with you,play_game
"that's enough, stop.",general_commandstop
what is this thing,qa_definition
please activate my vacuum cleaner,iot_cleaning
make this room brighter,iot_hue_lightup
if i have twenty dollars how many francs is that,qa_currency
bring up the grocery list and add,lists_createoradd
reduce the brightness,iot_hue_lightdim
replay my last played podcast,play_podcasts
how do you solve three two,qa_maths
read me new messages from name,email_query
i don't really mind.,general_dontcare
please repeat that.,general_repeat
show me boston's current time,datetime_query
i'd like to hear that sentence spoke again.,general_repeat
please turn the music volume up,audio_volume_up
i need to add this new contact for sam smith ssmith@yahoo dot com,email_addcontact
Show me articles about the new iphone eight,news_query
what's the latest in my social media,social_query
are there any special events in my town,recommendation_events
set alarm for saturday morning soccer practice at eight am,alarm_set
start a grocery list,lists_createoradd
resume pride and prejudice,play_audiobook
please takeaway of giving required of the restaurant,takeaway_query
get me match highlights,news_query
i want some coffee,iot_coffee
show me the stock price for google,qa_stock
turn off on wemo outlet,iot_wemo_off
please find today's stock prices for samsung company,qa_stock
where can i get organic wheat,recommendation_locations
play for me the music by the beatles,play_music
"you are smart, olly.",general_praise
turn on repeat,music_settings
link me to jeff's email,email_querycontact
change my room lights to blue,iot_hue_lightchange
please raise the light i am not comfortable at this,iot_hue_lightup
remove twenty fourth march meeting from schedule,calendar_remove
set a new alarm for that time,alarm_set
takeaway status,takeaway_query
does pink have a new baby,qa_factoid
one am set,alarm_set
play party songs,play_music
does not really matter with me.,general_dontcare
run indian folk song,play_music
what's the description for the alarm at eleven am,alarm_query
use facebook to post,social_post
what time is it in london,datetime_query
please pause this audio book now,play_audiobook
can you play monopoly with me,play_game
please make sure your command was correct because it doesn't sound right.,general_negate
convert time zone,datetime_convert
change light colour to blue,iot_hue_lightchange
turn up volume of music,audio_volume_up
be silent for thirty minutes,audio_volume_mute
find jhonny's address,email_querycontact
would you elaborate your words once again to me please.,general_explain
i do not really mind for anything.,general_dontcare
yeap amazing response to the command.,general_affirm
please start the coffee pot,iot_coffee
now i need to write an email to my colleague,email_sendemail
cancel alarm for tomorrow,alarm_remove
touch the mute button,audio_volume_mute
what's the news in politics on cnn,news_query
speak all items for to day,lists_query
the time in cairo please,datetime_query
can you tell me about expensive sushi restaurants in west philadelphia,recommendation_locations
please order my favorite dish from my favorite restaurant,takeaway_order
what is that one more time.,general_repeat
can you please give me john's email,email_querycontact
what items are on my shopping list,lists_query
"whatever is good with me, olly.",general_dontcare
can you please turn off the light of my bed room,iot_hue_lightoff
tell me what's happening on instagram,social_query
this is too bright,iot_hue_lightdim
start the robot vacuum cleaner now,iot_cleaning
its dark in here mind turning up the light intensity,iot_hue_lightup
help me locate a shop that sells clothes for classy ladies,recommendation_locations
please confirm details.,general_confirm
check detail please.,general_confirm
play any song of arijit singh,play_music
what time is it in new york city,datetime_query
please would you speak one more again.,general_repeat
can you please make me a cup of black coffee,iot_coffee
please continue playing odd thomas by dean koontz,play_audiobook
i need to book a taxi,transport_taxi
exchange rates of inr and u. s. d.,qa_currency
what day is christmas,datetime_query
change the light color to white,iot_hue_lightchange
tell me about alexander the great,qa_factoid
say a joke,general_joke
i just want to know some information about you,general_quirky
respond to graham and let him know that i will be free tomorrow,email_sendemail
make the bedroom lights light blue,iot_hue_lightchange
call pf chang's to order me egg foo young,takeaway_order
play new rihanna song,play_music
turn off the nearest light to me,iot_hue_lightoff
did my friend rohit posted something on facebook,social_query
i will need my filter coffee in ten minutes please ask the coffee maker accordingly,iot_coffee
include this item,lists_createoradd
turn down the lights,iot_hue_lightdim
show me the shortest route towards nearest train station,transport_query
get me a taxi,transport_taxi
please shut the lights,iot_hue_lightoff
play radio ninety five point five,play_radio
what is the square root of thirty four,qa_maths
resuming playing my current audio book,play_audiobook
i want to hear your last instruction you said again.,general_repeat
play last reason podcast,play_podcasts
i need a drink,iot_coffee
turn on the tv socket when i arrive home,iot_wemo_on
next episode in podcast,play_podcasts
lower your volume please,audio_volume_down
mobile shop,recommendation_locations
i would like the like in the kitchen to be a different color,iot_hue_lightchange
get me a train ticket to go to,transport_ticket
play sam harris audiobook,play_audiobook
"i do not really know, olly.",general_dontcare
order a takeaway sandwich and soup from the italian's,takeaway_order
turn down volume twenty percent,audio_volume_down
yes you have done it exactly.,general_affirm
remind me at one thousand three hundred,alarm_set
play papa pear saga,play_game
anything will be okay with me.,general_dontcare
what can i cook with broccoli and chicken,cooking_recipe
turn off all the lights in the living room and den,iot_hue_lightoff
hey olly turn the radio on,play_radio
email my meeting details to my manager,email_sendemail
did tracy update her facebook status today,social_query
turn off my wemo plug,iot_wemo_off
add this email to my contact,email_addcontact
please set my alarm for five pm,alarm_set
dim the lights,iot_hue_lightdim
tell me when i get new emails from principal lowry,email_query
would you please check to see if i've set my alarm for tomorrow morning,alarm_query
what is the exchange of euro to dollars,qa_currency
what's three plus three hundred and fifty five,qa_maths
the command was confirmed.,general_affirm
what is john doe's address,email_querycontact
clear my calendar for saturday,calendar_remove
what time does the train arrive in sacremento,transport_query
you don't understand it right.,general_negate
is it going to rain today in san diego,weather_query
i'm in a meeting please do not speak,audio_volume_mute
what is the factorial of x,qa_maths
play chess,play_game
what film should i watch,recommendation_movies
set to mute,audio_volume_mute
please continue with the next podcast episode,play_podcasts
did ashwin joined party yesterday,general_quirky
log a complaint about smart tv to sony customer service,social_post
any local activities you can recommend in my area,recommendation_events
what is the status of last take away order,takeaway_query
what does a baguette look like,qa_definition
tell me some funny joke to laugh,general_joke
please list active alarms,alarm_query
does this restaurant only do carryout,takeaway_query
what day is the fifteenth,datetime_query
how much for a train ticket,transport_query
i can't get that.,general_explain
can you elaborate further on this to me please.,general_explain
will the weather be bad on Sunday,weather_query
thanks for asssistance.,general_praise
turn off audio,audio_volume_mute
stop audiobook,play_audiobook
i want exact time in washington right now,datetime_query
get city cab here to airport,transport_taxi
who sings the song about a long black train,music_query
what are listed,lists_query
google can you book me a ticket on the train for tomorrow,transport_ticket
say it once again please.,general_repeat
let's try again please.,general_repeat
every light of room increase its intensity,iot_hue_lightup
once again elaborate me on what you have just said please.,general_explain
please could you try what you've said once more.,general_repeat
book me a train ticket in any train to bombay for tomorrow,transport_ticket
check and confirm the instruction.,general_confirm
increase the brightness of lights bedroom,iot_hue_lightup
radio please,play_radio
can you turn down the lights by twenty percent,iot_hue_lightdim
can you tell me a little about yourself,general_quirky
tell me about it,qa_definition
where should i go for dinner in san francisco tonight,recommendation_events
clean the carpets,iot_cleaning
what movie should i see,recommendation_movies
what kind of musical events are happening around here this week,recommendation_events
when was the song playing now released,music_query
it looks sunny and clear today is that true,weather_query
can you please clarify me more on your answers.,general_explain
play purple haze,play_music
how many people are following me on twitter now,social_query
check mom's number,email_querycontact
please set alarm for,alarm_set
please play the next episode,play_podcasts
please create a new list for me,lists_createoradd
please play podcasts on science,play_podcasts
what is the current exchange rate of euro to dollar,qa_currency
what would be the a perfectly nutritionally balanced meal for dinner,general_quirky
do i need a jacket today,weather_query
find me the cheapest place to buy a new backpack,recommendation_locations
set the time,alarm_set
i need a taxi to pick me up at the house and take me downtown,transport_taxi
activate robot vacuum,iot_cleaning
remove meeting for wednesday morning,calendar_remove
could you create a new list for me,lists_createoradd
email my boss that i will be late today because of an emergency and apologize to him for missing the meeting,email_sendemail
it is time to lower the kitchen lights,iot_hue_lightdim
what is going on in me area today,recommendation_events
meaning of enthusiastic,qa_definition
who's emailed me recently,email_query
elaborate me further on your answer please.,general_explain
how much does general tsos chicken cost at peking garden,takeaway_order
how is the traffic presently near central park road,transport_traffic
show me the exchange rate between czk and dollar,qa_currency
traffic please,transport_traffic
what is the meaning of this word,qa_definition
lower speaker volume,audio_volume_down
put the news on bbc,play_radio
put hamburger on my grocery list,lists_createoradd
switch off the plug socket,iot_wemo_off
book a ticket for today in irctc site for the stored information,transport_ticket
make coffee for me,iot_coffee
i want coffee from the machine,iot_coffee
when is boy band playing,music_query
what time i sit in china right now,datetime_query
where did rama go on his final journey,qa_factoid
turn off bedroom lights in ten seconds,iot_hue_lightoff
activate the cleaner for furniture cleaning,iot_cleaning
give me the names of my lists,lists_query
can you just cancel it.,general_commandstop
that is excellent.,general_affirm
please would you cancel.,general_commandstop
buy train ticket,transport_ticket
take out event from calendar,calendar_remove
uefa european championship,general_quirky
do i have new emails from john,email_query
give me the most recent stuff you have angelina jolie,general_quirky
please program volume settings for sixteen when i'm in the room at fourteen for when i've gone to bed,music_settings
what is the square root of ten,qa_maths
please play the beatles ps i love you,play_music
don't speak for an hour,audio_volume_mute
which shops can i find in milan,recommendation_locations
what's the song title,music_query
which bank will give better rate for currencies i have,qa_currency
"doesn't matter, olly.",general_dontcare
how do i get from where i'm at to universal in orlando florida,transport_query
i want to hear chopin now,play_music
what's jesse's birthday,email_querycontact
tell me why relationships are so hard,qa_factoid
please confirm my last question.,general_confirm
add email to contacts,email_addcontact
my vacuum cleaner should start between ten to eleven am everyday,iot_cleaning
what are i. b. m.'s stock prices,qa_stock
do i have an alarm set,alarm_query
search for the best spagetti recipe,cooking_recipe
time to hear me some blake shelton,play_music
i'd like to listen to ninety nine point five,play_radio
will you tell me that once more please.,general_repeat
it's awfully dark here,iot_hue_lighton
send an email to peter and ask him how is he now can i do something to help him,email_sendemail
would you check and confirm question please.,general_confirm
please tune in to fm ninety five,play_radio
send email to gary,email_sendemail
from dollar to euro,qa_currency
complain about walmart service,social_post
take off my alarms,alarm_remove
start me a new list,lists_createoradd
hello beef up the volume a little bit,audio_volume_up
when is president's day,qa_factoid
open the list,lists_query
did you get the instruction correctly?,general_confirm
olly could you shut off.,general_commandstop
tell me what you just said once again please.,general_repeat
what's an easy recipe to cook for food,cooking_recipe
silence for certain amount of hours,audio_volume_mute
will traffic be good when i leave in five minutes,transport_traffic
increase the intensity of the lighting in the room,iot_hue_lightup
"s1, could you please clarify me about what you've just said once again.",general_explain
please check if paradise does takeaway,takeaway_query
what is latest on the recent events happening right now,news_query
good morning isn't it a great day,general_quirky
let us start over.,general_repeat
did my mom send me an email,email_query
tweet a complaint to kohl's customer service,social_post
send golden taxi to pick me up as soon as possible,transport_taxi
trending social media,social_query
will you check what i said please.,general_confirm
"s2, i could not get that.",general_explain
please archive my read messages,email_query
is jimmie's party on friday cancelled,calendar_query
pull up the headlines please,news_query
send an email to dad about the weather for the week,email_sendemail
please make a coffee,iot_coffee
make a new list,lists_createoradd
what johncena do,qa_factoid
jump to the next podcast,play_podcasts
i need a good joke,general_joke
"stop, you didn't instruction the request right.",general_negate
"oh no, you did task all wrong.",general_negate
i'd like you check my last question please.,general_confirm
assistant please turn the lights off,iot_hue_lightoff
what's the traffic on the one hundred and one,transport_traffic
whats was the value of x if x plus two equals five,qa_maths
find me a bar in cleveland open until two am,recommendation_locations
remove my grocery list,lists_remove
turn down the volume,audio_volume_down
"that's useful, thank you so much, olly.",general_praise
please turn off the lights,iot_hue_lightoff
play game,play_game
how many alarms do i have set for morning hours between six and nine am,alarm_query
will you shut up.,general_commandstop
find songs from my big band playlist,play_music
create a list for today's tasks,lists_createoradd
say what you've said one more time again please.,general_repeat
you have done it correcly.,general_affirm
which restaurant is there in shivaji nagar,recommendation_locations
next podcast,play_podcasts
show me how to cook lasagna,cooking_recipe
what is the current rate of euro to us dollars,qa_currency
where is yellowstone park,qa_factoid
is there anything happening in town this weekend,recommendation_events
"that's perfect, musch appreciated.",general_praise
raise the volume to sixty,audio_volume_up
where is the nearest olive garden,recommendation_locations
tweet at united airlines i'm angry you lost my bags,social_post
need information about events before shift ends,calendar_query
show me nearby takeout restaurants,takeaway_order
light off now,iot_hue_lightoff
turn off the smart plug,iot_wemo_off
remove all the events and schedules,calendar_remove
post the following as a status on facebook,social_post
activate vacuum,iot_cleaning
latest technologies gadgets,general_quirky
please book the next taxi,transport_taxi
facebook info,social_query
sorry but it is not correct.,general_negate
save the last radio stations of the last month,music_likeness
save all songs from katy perry,music_likeness
does this place do takeaway,takeaway_query
what is the timing of bagmati express,transport_query
tell me all about hurricane,qa_definition
i'd like some red lighting,iot_hue_lightchange
"olly that is enough, just cancel it.",general_commandstop
remove the santana music list,lists_remove
order one burger,takeaway_order
this is my favorite song,music_likeness
"it does not matter with me, olly.",general_dontcare
play be warned by tech n9ne,play_music
what is the name of this song,music_query
where is the event today,calendar_query
i have a deadline on tuesday,general_quirky
can you tell me what kind of show can i go tonight in miami,recommendation_events
will you please clarify again.,general_explain
start radio play,play_radio
would you try what you said again.,general_repeat
how much money will i make for the week if i make dollars per hour and work twenty hours,qa_maths
convert current time from ist to est,datetime_convert
snooze,alarm_remove
play am,play_radio
look at my email,email_query
how much is fifty us dollars with in china,qa_currency
lets get a taxi,transport_taxi
please turn off the light of my son's room,iot_hue_lightoff
where is the closest uber,transport_taxi
when's mark lanegan's next album out,qa_factoid
what's the latest news about us election,news_query
search for local shops,recommendation_locations
prepare email for susan,email_sendemail
please list shops within one miles from me,recommendation_locations
is anyone likes my latest photo,social_query
make my collection mostly pop with a good bit of psychedelia,play_music
what does a beech tree look like,qa_definition
show me a funny joke,general_joke
check item five on my to do list,lists_query
who was in the beatles,qa_factoid
where am i supposed to be by this time tomorrow,calendar_query
tell me what is the nicest place to go,recommendation_locations
erase all content in my calendar,calendar_remove
yes great response to the command.,general_affirm
what does the list contain,lists_query
can you tell me the next scheduled event,calendar_query
when i get home can you please order a pizza,takeaway_order
play music for me,play_music
google find and play florida georgia line the one with nelly,play_music
please set this date to repeat,calendar_set
increase light brightness,iot_hue_lightup
how many legs does a dog have,qa_factoid
order me postmates of mcdonald,takeaway_order
please set an alarm for seven hundred and thirty am tomorrow,alarm_set
i want to listen to podcast,play_podcasts
forward email,email_sendemail
how do i get to starbucks,transport_query
"thank you so much, olly.",general_praise
play npr on this station,play_radio
can you take a role of enemy in the game of coc,play_game
remove events from my list,lists_remove
send the email to john,email_sendemail
start the radio,play_radio
is it noon in paris,datetime_query
play npr through my living room stereo,play_radio
it was wonderful.,general_affirm
increase the volume of the music to ninety,audio_volume_up
set brightness to fifty percent,iot_hue_lightchange
can you please check what i last said.,general_confirm
turn off the lamp socket,iot_wemo_off
what is the title of this song,music_query
turn off the kitchen lights,iot_hue_lightoff
show me the alarms i've set,alarm_query
what is the current traffic in washington town,transport_traffic
open train ticket app,transport_ticket
"that's good one, olly.",general_praise
inform about latest scheduled events near my location,recommendation_events
i need to create a new to do list,lists_createoradd
make a room darker,iot_hue_lightdim
i am in need of some pizza what's the closest place that delivers,takeaway_order
could you please tell me what is the rate for pound to u. s. d.,qa_currency
play the game of thrones audio book from the last chapter i was on,play_audiobook
give me the winning numbers to the powerball lottery,news_query
please reserve the next taxi a nine am,transport_taxi
please play the newest podcast,play_podcasts
describe a tomatillo,qa_definition
can you pull up the latest time so i won't be late for my appointment,calendar_query
we are going to play poker together,play_game
raise the volume of the speakers,audio_volume_up
this song is composed by whom,music_query
can you increase the volume of the speakers,audio_volume_up
what's the exchange rate between czk and euro,qa_currency
find the events,recommendation_events
is there traffic,transport_traffic
deactivate smart plug socket,iot_wemo_off
tell me movies playing in oceanside tonight,recommendation_movies
delete my calendar,calendar_remove
how long do i chill an icebo pie,cooking_recipe
what is today's current date,datetime_query
blue lights please,iot_hue_lightchange
repeat the last song,music_settings
what is the day today,datetime_query
play a game of contra as a second player,play_game
add shopping to my to do list,lists_createoradd
let's play a game of trivia,play_game
email my favourite contacts,email_sendemail
do i have any new emails in my inbox today,email_query
what music do i usually listen to,music_query
please dim the lights in the bedroom,iot_hue_lightdim
yes you've done command exactly.,general_affirm
check email from john,email_query
change the volume level to nineteen please,audio_volume_up
yeap good response.,general_affirm
is dinner ready yet,takeaway_query
"stop, i think that's not the correct command.",general_negate
add the email oriam@gmail dot com to my contacts,email_addcontact
i would like a coffee now,iot_coffee
i'd like a coffee please,iot_coffee
"fantastic job, you did well, olly.",general_praise
what time is the party tonight,calendar_query
tell me what a freeway is,qa_definition
select the information on the contact,email_querycontact
hey olly chance the current light settings,iot_hue_lightchange
if it's five am in berlin what time is it here,datetime_convert
"i would not really know, olly.",general_dontcare
when is sunset,qa_factoid
quiet on,audio_volume_mute
yeah amazing response.,general_affirm
can you give me the latest sports news,news_query
what is the time difference between california and michegan,datetime_convert
"excellent job, you have done well.",general_praise
hi olly please cancel all the programs for friday,calendar_remove
give the shortest route to the airport,transport_query
you didn't get it correctly.,general_negate
please dim the lights,iot_hue_lightdim
start play fifa seventeen,play_game
does john's pizza have takeaway,takeaway_query
turn on the vacuum now,iot_cleaning
it's amazing.,general_affirm
activate the vacuum cleaner and use it,iot_cleaning
can you tell how many hours of difference are between boston and los angeles,datetime_convert
this is unimportant to me.,general_dontcare
how do i get to the mall,transport_query
can you start fm eight hundred and ninety radio channel,play_radio
what is the highest microsoft stock price today,qa_stock
please adjust the speakers to a lower more comfortable level,audio_volume_down
you've got the command exactly.,general_affirm
what is fifty five minus two,qa_maths
turn on the rice cooker socket,iot_wemo_on
is the alarm to the backdoor set and ready to go,alarm_query
put shoes on my list,lists_createoradd
i want a train ticket from los angeles to phoenix,transport_ticket
"it was good job, i appreciate it, olly.",general_praise
is there anything left on my list,lists_query
tweet comcast and tell them that their service is down again,social_post
that doesn't really matter.,general_dontcare
find weather report,weather_query
